# Widerstand [Ohm] #Spannung [V] #Strom [I]
0					0.26			51.5	
10					0.73			51.1
20					1.22			50.9
30					1.59			46.1
40					1.73			38.7
50					1.79			33.1
100					1.91			18.5
110					1.92			17.0
120					1.93			15.7
130					1.93			14.5
140					1.94			13.5
150					1.94			12.7
200					1.95			 9.6
210					1.96			 9.2
230					1.96			 8.8
240					1.96			 8.4
250					1.96			 8.0
220					1.96			 7.7
