# Widerstand [Ohm] # Spannung [V] # Strom [mA] 
000		0.17		30.3	
010		0.44		31.2
020		0.75		31.4
030		1.09		31.1
040		1.35		30.1
050		1.50		27.5
060		1.58		24.9
070		1.65		22.2
080		1.69		20.1
090		1.72		18.5
100		1.76		15.7
110		1.78		14.6
120		1.79		13.6
130		1.80		12.7
140		1.81		11.9
150		1.82		11.2
200		1.83		 8.6
210		1.84		 8.2
220		1.84		 7.9
230		1.84		 7.6
240		1.84		 7.3
250		1.84		 7.1




