# Widerstand [Ohm] #Spannung [V] #Strom [I]
0		0.36	75.9
10		1.06	75.2
20		1.65	69.2
30		1.84	54.4
40		1.90	43.8
50		1.94	36.5
100		2.00	19.5
110		2.00	17.9
120		2.00	16.4
130		2.01	14.8
140		2.01	13.9
150		2.01	13.0
200		2.01	10.0
210		2.01	9.5
220		2.01	9.1
230		2.01	8.7
240		2.01	8.3
250		2.01	8.0
